Formula,Name,M+2H,M-H,Exact Mass,M+H,M+Na,2M-H,2M+H,2M+Na,,,,,,,,,,
C26H44N6O5,WA-3854-D,3059.02262,6115.0234,6116.0307,6117.0380,6139.0297,12231.0541,12233.0687,12255.0604,,,,,,,1000000,1000000,1000000,1000000
C26H44N6O5,Lucentamycin D,3059.52262,6116.0234,6117.0307,6118.0380,6140.0297,12233.0541,12235.0687,12257.0604,,,,,,,1000000,1000000,1000000,1000000
C30H48O7,(no trivial name),3060.02262,6117.0234,6118.0307,6119.0380,6141.0297,12235.0541,12237.0687,12259.0604,,,,,,,1000000,1000000,1000000,1000000
C30H19NO8,Dynemicin C,3060.52262,6118.0234,6119.0307,6120.0380,6142.0297,12237.0541,12239.0687,12261.0604,,,,,,,1000000,1000000,1000000,1000000
C30H19NO8,Endynamicin B; Desoxydynemicin A,3061.02262,6119.0234,6120.0307,6121.0380,6143.0297,12239.0541,12241.0687,12263.0604,,,,,,,1000000,1000000,1000000,1000000
C17H23N5O14,Polyoxin-D,3061.52262,6120.0234,6121.0307,6122.0380,6144.0297,12241.0541,12243.0687,12265.0604,,,,,,,1000000,1000000,1000000,1000000
C27H23NO10,Simaomicin beta; LL-D42067beta,3062.02262,6121.0234,6122.0307,6123.0380,6145.0297,12243.0541,12245.0687,12267.0604,,,,,,,1000000,1000000,1000000,1000000
C25H23N5O6S,Apalcillin,3062.52262,6122.0234,6123.0307,6124.0380,6146.0297,12245.0541,12247.0687,12269.0604,,,,,,,1000000,1000000,1000000,1000000
C29H31NO8,Deacetylravidomycin; AY 26623,3063.02262,6123.0234,6124.0307,6125.0380,6147.0297,12247.0541,12249.0687,12271.0604,,,,,,,1000000,1000000,1000000,1000000
C22H35N9O6,Sch-36606,3063.52262,6124.0234,6125.0307,6126.0380,6148.0297,12249.0541,12251.0687,12273.0604,,,,,,,1000000,1000000,1000000,1000000
C26H43N5O6,Syringolin-F,3064.02262,6125.0234,6126.0307,6127.0380,6149.0297,12251.0541,12253.0687,12275.0604,,,,,,,1000000,1000000,1000000,1000000
C29H47NO7,Mycinamicin VII; 21-Demycinosylmycinamic,3064.52262,6126.0234,6127.0307,6128.0380,6150.0297,12253.0541,12255.0687,12277.0604,,,,,,,1000000,1000000,1000000,1000000
C22H23BrN2O8,Bromotetracycline; Bromodechlorotetracyc,3065.02262,6127.0234,6128.0307,6129.0380,6151.0297,12255.0541,12257.0687,12279.0604,,,,,,,1000000,1000000,1000000,1000000
C26H18O12,g-Rubromycin,3065.52262,6128.0234,6129.0307,6130.0380,6152.0297,12257.0541,12259.0687,12281.0604,,,,,,,1000000,1000000,1000000,1000000
C26H18O12,g-Isorubromycin,3066.02262,6129.0234,6130.0307,6131.0380,6153.0297,12259.0541,12261.0687,12283.0604,,,,,,,1000000,1000000,1000000,1000000
C24H27ClN2O9,Sch 33256; 7-Chloro-8-methoxy-N-methyl-t,3066.52262,6130.0234,6131.0307,6132.0380,6154.0297,12261.0541,12263.0687,12285.0604,,,,,,,1000000,1000000,1000000,1000000
C26H34O11,Bruceine A,3067.02262,6131.0234,6132.0307,6133.0380,6155.0297,12263.0541,12265.0687,12287.0604,,,,,,,1000000,1000000,1000000,1000000
C29H34N2O7,Asukamycin C-II,3067.52262,6132.0234,6133.0307,6134.0380,6156.0297,12265.0541,12267.0687,12289.0604,,,,,,,1000000,1000000,1000000,1000000
C29H34N2O7,Asukamycin D-II,3068.02262,6133.0234,6134.0307,6135.0380,6157.0297,12267.0541,12269.0687,12291.0604,,,,,,,1000000,1000000,1000000,1000000
C31H38O7,"22,28,29-Trihydroxy-L-696474",3068.52262,6134.0234,6135.0307,6136.0380,6158.0297,12269.0541,12271.0687,12293.0604,,,,,,,1000000,1000000,1000000,1000000
C31H38O7,"16,22,28-Trihydroxy-L-696474",3069.02262,6135.0234,6136.0307,6137.0380,6159.0297,12271.0541,12273.0687,12295.0604,,,,,,,1000000,1000000,1000000,1000000
C32H42O6,Milbemycin a31 (alpha31),3069.52262,6136.0234,6137.0307,6138.0380,6160.0297,12273.0541,12275.0687,12297.0604,,,,,,,1000000,1000000,1000000,1000000
C26H46N6O5,Lucentamycin C,3070.02262,6137.0234,6138.0307,6139.0380,6161.0297,12275.0541,12277.0687,12299.0604,,,,,,,1000000,1000000,1000000,1000000
C26H21NO11,SF 2446A3,3070.52262,6138.0234,6139.0307,6140.0380,6162.0297,12277.0541,12279.0687,12301.0604,,,,,,,1000000,1000000,1000000,1000000
C26H19F2N3O7,Fluoroindolocarbazole B,3071.02262,6139.0234,6140.0307,6141.0380,6163.0297,12279.0541,12281.0687,12303.0604,,,,,,,1000000,1000000,1000000,1000000
C26H19F2N3O7,Fluoroindolocarbazole C,3071.52262,6140.0234,6141.0307,6142.0380,6164.0297,12281.0541,12283.0687,12305.0604,,,,,,,1000000,1000000,1000000,1000000
C27H25NO10,(3aS)-Jadomycin S,3072.02262,6141.0234,6142.0307,6143.0380,6165.0297,12283.0541,12285.0687,12307.0604,,,,,,,1000000,1000000,1000000,1000000
C27H25NO10,Jadomycin DS,3072.52262,6142.0234,6143.0307,6144.0380,6166.0297,12285.0541,12287.0687,12309.0604,,,,,,,1000000,1000000,1000000,1000000
C26H25N3O9,Duocarmycin-D,3073.02262,6143.0234,6144.0307,6145.0380,6167.0297,12287.0541,12289.0687,12311.0604,,,,,,,1000000,1000000,1000000,1000000
C22H29N5O10,Herbicidin-E,3073.52262,6144.0234,6145.0307,6146.0380,6168.0297,12289.0541,12291.0687,12313.0604,,,,,,,1000000,1000000,1000000,1000000
C29H37N3O6,Calcimycin; A-23187,3074.02262,6145.0234,6146.0307,6147.0380,6169.0297,12291.0541,12293.0687,12315.0604,,,,,,,1000000,1000000,1000000,1000000
C27H41NO9,FR-901465,3074.52262,6146.0234,6147.0307,6148.0380,6170.0297,12293.0541,12295.0687,12317.0604,,,,,,,1000000,1000000,1000000,1000000
C21H41N5O10,"3',4'-Dideoxybutirosin-A; DDB-A",3075.02262,6147.0234,6148.0307,6149.0380,6171.0297,12295.0541,12297.0687,12319.0604,,,,,,,1000000,1000000,1000000,1000000
C21H41N5O10,"3',4'-Dideoxybutirosin-B; DDB-B",3075.52262,6148.0234,6149.0307,6150.0380,6172.0297,12297.0541,12299.0687,12321.0604,,,,,,,1000000,1000000,1000000,1000000
C28H53N5O4,Rhodopeptin B5; Mer-N1033 B5,3076.02262,6149.0234,6150.0307,6151.0380,6173.0297,12299.0541,12301.0687,12323.0604,,,,,,,1000000,1000000,1000000,1000000
C23H25ClN2O10,Sch 34164,3076.52262,6150.0234,6151.0307,6152.0380,6174.0297,12301.0541,12303.0687,12325.0604,,,,,,,1000000,1000000,1000000,1000000
C26H24N2O10,4-Deacetyl-4-O-isobutyrylkinamycin-C,3077.02262,6151.0234,6152.0307,6153.0380,6175.0297,12303.0541,12305.0687,12327.0604,,,,,,,1000000,1000000,1000000,1000000
C26H24N2O10,FL-120-A,3077.52262,6152.0234,6153.0307,6154.0380,6176.0297,12305.0541,12307.0687,12329.0604,,,,,,,1000000,1000000,1000000,1000000
C28H28O10,Virenomycin V,3078.02262,6153.0234,6154.0307,6155.0380,6177.0297,12307.0541,12309.0687,12331.0604,,,,,,,1000000,1000000,1000000,1000000
C27H34Cl2O6,,3078.52262,6154.0234,6155.0307,6156.0380,6178.0297,12309.0541,12311.0687,12333.0604,,,,,,,1000000,1000000,1000000,1000000
C29H32O9,Lucensimycin A,3079.02262,6155.0234,6156.0307,6157.0380,6179.0297,12311.0541,12313.0687,12335.0604,,,,,,,1000000,1000000,1000000,1000000
C27H32N4O7,X 14873B; Actinomycin X 14873B,3079.52262,6156.0234,6157.0307,6158.0380,6180.0297,12313.0541,12315.0687,12337.0604,,,,,,,1000000,1000000,1000000,1000000
C27H32N4O7,X 14873C; Actinomycin X-14873 C;,3080.02262,6157.0234,6158.0307,6159.0380,6181.0297,12315.0541,12317.0687,12339.0604,,,,,,,1000000,1000000,1000000,1000000
C27H32N4O7,X 14873D; Actinomycin X-14873 D,3080.52262,6158.0234,6159.0307,6160.0380,6182.0297,12317.0541,12319.0687,12341.0604,,,,,,,1000000,1000000,1000000,1000000
C19H32N12O6,Capreomycin-IIB,3081.02262,6159.0234,6160.0307,6161.0380,6183.0297,12319.0541,12321.0687,12343.0604,,,,,,,1000000,1000000,1000000,1000000
C28H36N4O6,Safracin A; Quinonamine B; Y 16601; Y 16,3081.52262,6160.0234,6161.0307,6162.0380,6184.0297,12321.0541,12323.0687,12345.0604,,,,,,,1000000,1000000,1000000,1000000
C30H40N2O6,Capsimycin; N 461,3082.02262,6161.0234,6162.0307,6163.0380,6185.0297,12323.0541,12325.0687,12347.0604,,,,,,,1000000,1000000,1000000,1000000
C30H40N2O6,Aburatsubolactam-B,3082.52262,6162.0234,6163.0307,6164.0380,6186.0297,12325.0541,12327.0687,12349.0604,,,,,,,1000000,1000000,1000000,1000000
C30H40N2O6,Tue-6239 C1; Ripromycin,3083.02262,6163.0234,6164.0307,6165.0380,6187.0297,12327.0541,12329.0687,12351.0604,,523.2815,,,,,915093.3781,1000000,1000000,1000000
C30H40N2O6,Novo-4,3083.52262,6164.0234,6165.0307,6166.0380,6188.0297,12329.0541,12331.0687,12353.0604,,,,,,,1000000,1000000,1000000,1000000
C28H44O9,Omdurmycin,3084.02262,6165.0234,6166.0307,6167.0380,6189.0297,12331.0541,12333.0687,12355.0604,,,,,,,1000000,1000000,1000000,1000000
C32H44O6,Milbemycin beta14,3084.52262,6166.0234,6167.0307,6168.0380,6190.0297,12333.0541,12335.0687,12357.0604,,,,,,,1000000,1000000,1000000,1000000
C32H44O6,SF 2847,3085.02262,6167.0234,6168.0307,6169.0380,6191.0297,12335.0541,12337.0687,12359.0604,,,,,,,1000000,1000000,1000000,1000000
C33H48O5,Leptofuranin D,3085.52262,6168.0234,6169.0307,6170.0380,6192.0297,12337.0541,12339.0687,12361.0604,,,,,,,1000000,1000000,1000000,1000000
C25H52N10O2,Eulicin derivative,3086.02262,6169.0234,6170.0307,6171.0380,6193.0297,12339.0541,12341.0687,12363.0604,,,,,,,1000000,1000000,1000000,1000000
C21H27N5O11,Nikkomycin ZH,3086.52262,6170.0234,6171.0307,6172.0380,6194.0297,12341.0541,12343.0687,12365.0604,,,,,,,1000000,1000000,1000000,1000000
C26H27N3O9,SF-2582-C,3087.02262,6171.0234,6172.0307,6173.0380,6195.0297,12343.0541,12345.0687,12367.0604,,,,,,,1000000,1000000,1000000,1000000
C29H35NO8,Hygrocin A,3087.52262,6172.0234,6173.0307,6174.0380,6196.0297,12345.0541,12347.0687,12369.0604,,,,,,,1000000,1000000,1000000,1000000
C28H35N3O7,Ostreogrycin A; Mikamycin A; Pristinamyc,3088.02262,6173.0234,6174.0307,6175.0380,6197.0297,12347.0541,12349.0687,12371.0604,,,,,,,1000000,1000000,1000000,1000000
C20H39N5O11,NK-1013-2; N-Acetylkanamycin-B,3088.52262,6174.0234,6175.0307,6176.0380,6198.0297,12349.0541,12351.0687,12373.0604,,,,,,,1000000,1000000,1000000,1000000
C29H39N3O6,Tyrostatin,3089.02262,6175.0234,6176.0307,6177.0380,6199.0297,12351.0541,12353.0687,12375.0604,,,,,,,1000000,1000000,1000000,1000000
C28H47NO8,Picromycin; Amaromycin; Albomycetin; Arg,3089.52262,6176.0234,6177.0307,6178.0380,6200.0297,12353.0541,12355.0687,12377.0604,,,,,,,1000000,1000000,1000000,1000000
C28H47NO8,5-O-Mycaminosylnarbonolide,3090.02262,6177.0234,6178.0307,6179.0380,6201.0297,12355.0541,12357.0687,12379.0604,,,,,,,1000000,1000000,1000000,1000000
C28H47NO8,Neopikromycin; Neopicromycin,3090.52262,6178.0234,6179.0307,6180.0380,6202.0297,12357.0541,12359.0687,12381.0604,,,,,,,1000000,1000000,1000000,1000000
C25H18O13,Griseorhodin C; FCRC 57-U; 2844-31-B; 28,3091.02262,6179.0234,6180.0307,6181.0380,6203.0297,12359.0541,12361.0687,12383.0604,,,,,,,1000000,1000000,1000000,1000000
C16H26N6O12S,PB 5582A; SQ 28332,3091.52262,6180.0234,6181.0307,6182.0380,6204.0297,12361.0541,12363.0687,12385.0604,,,,,,,1000000,1000000,1000000,1000000
C28H22N4O7,(-)-Indocarbazostatin B,3092.02262,6181.0234,6182.0307,6183.0380,6205.0297,12363.0541,12365.0687,12387.0604,,,,,,,1000000,1000000,1000000,1000000
C27H30N2O9,UK-2B,3092.52262,6182.0234,6183.0307,6184.0380,6206.0297,12365.0541,12367.0687,12389.0604,,,,,,,1000000,1000000,1000000,1000000
C19H38N6O11,Nebramycin-4; 6''-O-Carbamoylkanamycin; ,3093.02262,6183.0234,6184.0307,6185.0380,6207.0297,12367.0541,12369.0687,12391.0604,,,,,,,1000000,1000000,1000000,1000000
C31H42O7,Milbemycin J; Milbemectin,3093.52262,6184.0234,6185.0307,6186.0380,6208.0297,12369.0541,12371.0687,12393.0604,,,,,,,1000000,1000000,1000000,1000000
C31H42O7,Helvolinic acid; 7-Desacetylhelvolic aci,3094.02262,6185.0234,6186.0307,6187.0380,6209.0297,12371.0541,12373.0687,12395.0604,,,,,,,1000000,1000000,1000000,1000000
C28H46O9,Butyrolactol-A,3094.52262,6186.0234,6187.0307,6188.0380,6210.0297,12373.0541,12375.0687,12397.0604,,,,,,,1000000,1000000,1000000,1000000
C32H46O6,Leptomycin A; ATS 1287A; PD 118607; Jild,3095.02262,6187.0234,6188.0307,6189.0380,6211.0297,12375.0541,12377.0687,12399.0604,,,,,,,1000000,1000000,1000000,1000000
C32H46O6,Milbemycin beta4,3095.52262,6188.0234,6189.0307,6190.0380,6212.0297,12377.0541,12379.0687,12401.0604,,,,,,,1000000,1000000,1000000,1000000
C32H46O6,Anguinomycin-B; KR 2827 B,3096.02262,6189.0234,6190.0307,6191.0380,6213.0297,12379.0541,12381.0687,12403.0604,,,,,,,1000000,1000000,1000000,1000000
C31H46N2O5,FR-256523,3096.52262,6190.0234,6191.0307,6192.0380,6214.0297,12381.0541,12383.0687,12405.0604,,,,,,,1000000,1000000,1000000,1000000
C33H50O5,Leptofuranin B,3097.02262,6191.0234,6192.0307,6193.0380,6215.0297,12383.0541,12385.0687,12407.0604,,,,,,,1000000,1000000,1000000,1000000
C25H54N10O2,SF 2425; 1-N-Carbamidoyleulicin,3097.52262,6192.0234,6193.0307,6194.0380,6216.0297,12385.0541,12387.0687,12409.0604,,,,,,,1000000,1000000,1000000,1000000
C29H21NO9,Cervinomycin A2; AM-5344-A2; 167-B,3098.02262,6193.0234,6194.0307,6195.0380,6217.0297,12387.0541,12389.0687,12411.0604,,,,,,,1000000,1000000,1000000,1000000
C29H21NO9,TMC-66,3098.52262,6194.0234,6195.0307,6196.0380,6218.0297,12389.0541,12391.0687,12413.0604,,,,,,,1000000,1000000,1000000,1000000
C27H29NO10,11-Deoxydoxorubicin; 11-Deoxyadriamycin,3099.02262,6195.0234,6196.0307,6197.0380,6219.0297,12391.0541,12393.0687,12415.0604,,,,,,,1000000,1000000,1000000,1000000
C27H29NO10,Daunomycin; Rubidomycin; Rubomycin C; RP,3099.52262,6196.0234,6197.0307,6198.0380,6220.0297,12393.0541,12395.0687,12417.0604,,,,,,,1000000,1000000,1000000,1000000
C27H29NO10,D-788-3; 11-Deoxy-D-788-1,3100.02262,6197.0234,6198.0307,6199.0380,6221.0297,12395.0541,12397.0687,12419.0604,,,,,,,1000000,1000000,1000000,1000000
C27H29NO10,Esorubicin; 4'-Deoxydoxorubicin,3100.52262,6198.0234,6199.0307,6200.0380,6222.0297,12397.0541,12399.0687,12421.0604,,,,,,,1000000,1000000,1000000,1000000
C27H29NO10,D-788-14; 4-O-Demethyl-feudomycin B,3101.02262,6199.0234,6200.0307,6201.0380,6223.0297,12399.0541,12401.0687,12423.0604,,,,,,,1000000,1000000,1000000,1000000
C21H29N5O11,Dapiramicin B,3101.52262,6200.0234,6201.0307,6202.0380,6224.0297,12401.0541,12403.0687,12425.0604,,,,,,,1000000,1000000,1000000,1000000
C28H33NO9,Iremycin; g-Rhodomycin-I; g-Rhodomycin-R,3102.02262,6201.0234,6202.0307,6203.0380,6225.0297,12403.0541,12405.0687,12427.0604,,,,,,,1000000,1000000,1000000,1000000
C28H33NO9,Yellamycin-A; Y262-3,3102.52262,6202.0234,6203.0307,6204.0380,6226.0297,12405.0541,12407.0687,12429.0604,,,,,,,1000000,1000000,1000000,1000000
C28H33NO9,Yellamycin-C; Y262-1,3103.02262,6203.0234,6204.0307,6205.0380,6227.0297,12407.0541,12409.0687,12431.0604,,,,,,,1000000,1000000,1000000,1000000
C28H33NO9,11-Deoxy-rhodomycin-B,3103.52262,6204.0234,6205.0307,6206.0380,6228.0297,12409.0541,12411.0687,12433.0604,,,,,,,1000000,1000000,1000000,1000000
C24H37N3O8S,Celesticetin-C,3104.02262,6205.0234,6206.0307,6207.0380,6229.0297,12411.0541,12413.0687,12435.0604,,,,,,,1000000,1000000,1000000,1000000
C20H37N3O13,RH 5012C,3104.52262,6206.0234,6207.0307,6208.0380,6230.0297,12413.0541,12415.0687,12437.0604,,,,,,,1000000,1000000,1000000,1000000
C20H37N3O13,Destomycin A; XK-33-F1,3105.02262,6207.0234,6208.0307,6209.0380,6231.0297,12415.0541,12417.0687,12439.0604,,,,,,,1000000,1000000,1000000,1000000
C20H37N3O13,Hygromycin B; Macromycin; A-396-II,3105.52262,6208.0234,6209.0307,6210.0380,6232.0297,12417.0541,12419.0687,12441.0604,,,,,,,1000000,1000000,1000000,1000000
C28H37N3O7,Ostreogrycin-G; Pristinamycin-IIB; E-129,3106.02262,6209.0234,6210.0307,6211.0380,6233.0297,12419.0541,12421.0687,12443.0604,,,,,,,1000000,1000000,1000000,1000000
C28H49NO8,AI-R6-4; A1-R6-4,3106.52262,6210.0234,6211.0307,6212.0380,6234.0297,12421.0541,12423.0687,12445.0604,,,,,,,1000000,1000000,1000000,1000000
C28H49NO8,"10,11-Dihydropicromycin",3107.02262,6211.0234,6212.0307,6213.0380,6235.0297,12423.0541,12425.0687,12447.0604,,,,,,,1000000,1000000,1000000,1000000
C28H49NO8,"Kayamycin; 10,11-Dihydro-5-O-mycaminosyl",3107.52262,6212.0234,6213.0307,6214.0380,6236.0297,12425.0541,12427.0687,12449.0604,,,,,,,1000000,1000000,1000000,1000000
C28H49NO8,"10,11-Dihydroneopikromycin",3108.02262,6213.0234,6214.0307,6215.0380,6237.0297,12427.0541,12429.0687,12451.0604,,,,,,,1000000,1000000,1000000,1000000
C13H8Br4O3,"3,5-Dibromo-2-(3',5'-dibromo-2'-methoxyp",3108.52262,6214.0234,6215.0307,6216.0380,6238.0297,12429.0541,12431.0687,12453.0604,,,,,,,1000000,1000000,1000000,1000000
C26H21ClO10,Chlorocyclinone C,3109.02262,6215.0234,6216.0307,6217.0380,6239.0297,12431.0541,12433.0687,12455.0604,,,,,,,1000000,1000000,1000000,1000000
C26H31Cl3O5,A80915 A,3109.52262,6216.0234,6217.0307,6218.0380,6240.0297,12433.0541,12435.0687,12457.0604,,,,,,,1000000,1000000,1000000,1000000
C26H31Cl3O5,,3110.02262,6217.0234,6218.0307,6219.0380,6241.0297,12435.0541,12437.0687,12459.0604,,,,,,,1000000,1000000,1000000,1000000
C27H32N2O9,UK-2C,3110.52262,6218.0234,6219.0307,6220.0380,6242.0297,12437.0541,12439.0687,12461.0604,,,,,,,1000000,1000000,1000000,1000000
C27H32N2O9,UK-2D,3111.02262,6219.0234,6220.0307,6221.0380,6243.0297,12439.0541,12441.0687,12463.0604,,,,,,,1000000,1000000,1000000,1000000
C24H36N2O9S,Celesticetin; D-52; Caelesticetin,3111.52262,6220.0234,6221.0307,6222.0380,6244.0297,12441.0541,12443.0687,12465.0604,,,,,,,1000000,1000000,1000000,1000000
C31H44O7,Milbemycin a1; B 41A3; Milbemycin A3,3112.02262,6221.0234,6222.0307,6223.0380,6245.0297,12443.0541,12445.0687,12467.0604,,,,,,,1000000,1000000,1000000,1000000
C31H44O7,Milbemycin a17,3112.52262,6222.0234,6223.0307,6224.0380,6246.0297,12445.0541,12447.0687,12469.0604,,,,,,,1000000,1000000,1000000,1000000
C27H48N2O8,Serratamolide D,3113.02262,6223.0234,6224.0307,6225.0380,6247.0297,12447.0541,12449.0687,12471.0604,,,,,,,1000000,1000000,1000000,1000000
C31H48N2O5,FR 252922; Pseudotrienic acid A lactone,3113.52262,6224.0234,6225.0307,6226.0380,6248.0297,12449.0541,12451.0687,12473.0604,,,,,,,1000000,1000000,1000000,1000000
C40H48,Isorenieratene; Leprotene; 7-cis-Isoreni,3114.02262,6225.0234,6226.0307,6227.0380,6249.0297,12451.0541,12453.0687,12475.0604,,,,,,,1000000,1000000,1000000,1000000
C29H23NO9,Cervinomycin A1; Am 5344A; AM 5344A1,3114.52262,6226.0234,6227.0307,6228.0380,6250.0297,12453.0541,12455.0687,12477.0604,,,,,,,1000000,1000000,1000000,1000000
C26H27NO11,Anthracycline 14-A12; D-788-10; 10-Carbo,3115.02262,6227.0234,6228.0307,6229.0380,6251.0297,12455.0541,12457.0687,12479.0604,,,,,,,1000000,1000000,1000000,1000000
C27H31NO10,Duborimycin; Daunorubicinol; 13-Dihydrod,3115.52262,6228.0234,6229.0307,6230.0380,6252.0297,12457.0541,12459.0687,12481.0604,,,,,,,1000000,1000000,1000000,1000000
C27H31NO10,Komodoquinone A,3116.02262,6229.0234,6230.0307,6231.0380,6253.0297,12459.0541,12461.0687,12483.0604,,,,,,,1000000,1000000,1000000,1000000
C23H35N3O9S,7-O-Demethyldesalicetin beta-(4-aminosal,3116.52262,6230.0234,6231.0307,6232.0380,6254.0297,12461.0541,12463.0687,12485.0604,,,,,,,1000000,1000000,1000000,1000000
C23H35N3O9S,N-Demethyldesalicetin beta-(4-aminosalic,3117.02262,6231.0234,6232.0307,6233.0380,6255.0297,12463.0541,12465.0687,12487.0604,,,,,,,1000000,1000000,1000000,1000000
C19H35N3O14,SS-56-C; SF 1768,3117.52262,6232.0234,6233.0307,6234.0380,6256.0297,12465.0541,12467.0687,12489.0604,,,,,,,1000000,1000000,1000000,1000000
C28H35NO9,Tetrapetalone B,3118.02262,6233.0234,6234.0307,6235.0380,6257.0297,12467.0541,12469.0687,12491.0604,,,,,,,1000000,1000000,1000000,1000000
C19H39N5O12,Stalobacin-I1,3118.52262,6234.0234,6235.0307,6236.0380,6258.0297,12469.0541,12471.0687,12493.0604,,,,,,,1000000,1000000,1000000,1000000
C23H39N5O9,Cammunocin,3119.02262,6235.0234,6236.0307,6237.0380,6259.0297,12471.0541,12473.0687,12495.0604,,,,,,,1000000,1000000,1000000,1000000
C29H22O10,WS-79089-C,3119.52262,6236.0234,6237.0307,6238.0380,6260.0297,12473.0541,12475.0687,12497.0604,,,,,,,1000000,1000000,1000000,1000000
C19H26N6O12,Ezomycin A2,3120.02262,6237.0234,6238.0307,6239.0380,6261.0297,12475.0541,12477.0687,12499.0604,,,,,,,1000000,1000000,1000000,1000000
C24H26N4O10,PA 42702A; Formadicin C; TAN 585C,3120.52262,6238.0234,6239.0307,6240.0380,6262.0297,12477.0541,12479.0687,12501.0604,,,,,,,1000000,1000000,1000000,1000000
C27H30O11,Mutactimycin C,3121.02262,6239.0234,6240.0307,6241.0380,6263.0297,12479.0541,12481.0687,12503.0604,,,,,,,1000000,1000000,1000000,1000000
C27H30O11,8-Demethoxy-steffimycin D,3121.52262,6240.0234,6241.0307,6242.0380,6264.0297,12481.0541,12483.0687,12505.0604,,,,,,,1000000,1000000,1000000,1000000
C27H30O11,3'-O-Demethylmutactimycin,3122.02262,6241.0234,6242.0307,6243.0380,6265.0297,12483.0541,12485.0687,12507.0604,,,,,,,1000000,1000000,1000000,1000000
C27H30O11,Mutactimycin P11,3122.52262,6242.0234,6243.0307,6244.0380,6266.0297,12485.0541,12487.0687,12509.0604,,,,,,,1000000,1000000,1000000,1000000
C32H26N4O4,Phenazostatin B,3123.02262,6243.0234,6244.0307,6245.0380,6267.0297,12487.0541,12489.0687,12511.0604,,,,,,,1000000,1000000,1000000,1000000
C32H26N4O4,Phenazostatin D,3123.52262,6244.0234,6245.0307,6246.0380,6268.0297,12489.0541,12491.0687,12513.0604,,,,,,,1000000,1000000,1000000,1000000
C30H30N2O7,Colabomycin A,3124.02262,6245.0234,6246.0307,6247.0380,6269.0297,12491.0541,12493.0687,12515.0604,,,,,,,1000000,1000000,1000000,1000000
C28H38N2O8,Herbimycin B,3124.52262,6246.0234,6247.0307,6248.0380,6270.0297,12493.0541,12495.0687,12517.0604,,,,,,,1000000,1000000,1000000,1000000
C28H38N2O8,C-33196 E-6,3125.02262,6247.0234,6248.0307,6249.0380,6271.0297,12495.0541,12497.0687,12519.0604,,,,,,,1000000,1000000,1000000,1000000
C28H38N2O8,C-33196 E-7,3125.52262,6248.0234,6249.0307,6250.0380,6272.0297,12497.0541,12499.0687,12521.0604,,,,,,,1000000,1000000,1000000,1000000
C24H42N4O9,Rhizobactin-1021,3126.02262,6249.0234,6250.0307,6251.0380,6273.0297,12499.0541,12501.0687,12523.0604,,,,,,,1000000,1000000,1000000,1000000
C31H46O7,Milbemycin beta11,3126.52262,6250.0234,6251.0307,6252.0380,6274.0297,12501.0541,12503.0687,12525.0604,,,,,,,1000000,1000000,1000000,1000000
C28H21NO10,Dynemicin-P,3127.02262,6251.0234,6252.0307,6253.0380,6275.0297,12503.0541,12505.0687,12527.0604,,,,,,,1000000,1000000,1000000,1000000
C19H25N5O13,Ezomycin B2,3127.52262,6252.0234,6253.0307,6254.0380,6276.0297,12505.0541,12507.0687,12529.0604,,,,,,,1000000,1000000,1000000,1000000
C19H25N5O13,Ezomycin C2,3128.02262,6253.0234,6254.0307,6255.0380,6277.0297,12507.0541,12509.0687,12531.0604,,,,,,,1000000,1000000,1000000,1000000
C26H29NO11,1-Hydroxy-D-788-7,3128.52262,6254.0234,6255.0307,6256.0380,6278.0297,12509.0541,12511.0687,12533.0604,,,,,,,1000000,1000000,1000000,1000000
C15H34N9O8PS,Phaseolotoxin,3129.02262,6255.0234,6256.0307,6257.0380,6279.0297,12511.0541,12513.0687,12535.0604,,,,,,,1000000,1000000,1000000,1000000
C28H37NO9,Nargenicin B2; CP 52726; 52726,3129.52262,6256.0234,6257.0307,6258.0380,6280.0297,12513.0541,12515.0687,12537.0604,,,,,,,1000000,1000000,1000000,1000000
C28H37NO9,Nargenicin B3; CP 52748; 52748,3130.02262,6257.0234,6258.0307,6259.0380,6281.0297,12515.0541,12517.0687,12539.0604,,,,,,,1000000,1000000,1000000,1000000
C26H37N5O7,Amonabactin T,3130.52262,6258.0234,6259.0307,6260.0380,6282.0297,12517.0541,12519.0687,12541.0604,,,,,,,1000000,1000000,1000000,1000000
C25H31Cl3O6,Napyradiomycin B4,3131.02262,6259.0234,6260.0307,6261.0380,6283.0297,12519.0541,12521.0687,12543.0604,,,,,,,1000000,1000000,1000000,1000000
C26H28O10S,Sakyomicin E,3131.52262,6260.0234,6261.0307,6262.0380,6284.0297,12521.0541,12523.0687,12545.0604,,,,,,,1000000,1000000,1000000,1000000
C26H28O12,MM 44787,3132.02262,6261.0234,6262.0307,6263.0380,6285.0297,12523.0541,12525.0687,12547.0604,,,,,,,1000000,1000000,1000000,1000000
C30H32N2O7,Colabomycin D,3132.52262,6262.0234,6263.0307,6264.0380,6286.0297,12525.0541,12527.0687,12549.0604,,,,,,,1000000,1000000,1000000,1000000
C28H40N2O8,C-33196 E-6R,3133.02262,6263.0234,6264.0307,6265.0380,6287.0297,12527.0541,12529.0687,12551.0604,,,,,,,1000000,1000000,1000000,1000000
C28H40N2O8,C-33196 E-7R,3133.52262,6264.0234,6265.0307,6266.0380,6288.0297,12529.0541,12531.0687,12553.0604,,,,,,,1000000,1000000,1000000,1000000
